node:148 rate:2.588 new_rtt4.176 c:1.073 rttpred:4005.467 rtttarget:5220.000 rttmin4176.000 e:-0.233 eold:-0.173 eavg:-0.176 flag:1
node:148 rate:1.673 new_rtt19.421 c:0.992 rttpred:16157.463 rtttarget:15330.000 rttmin12264.000 e:0.054 eold:0.027 eavg:-0.069 flag:1
node:148 rate:2.609 new_rtt8.241 c:1.061 rttpred:8123.898 rtttarget:10275.000 rttmin8220.000 e:-0.209 eold:-0.206 eavg:-0.176 flag:1
node:148 rate:1.193 new_rtt12.293 c:1.052 rttpred:12185.049 rtttarget:15330.000 rttmin12264.000 e:-0.205 eold:-0.207 eavg:-0.104 flag:1
node:148 rate:2.778 new_rtt4.176 c:1.057 rttpred:4131.616 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.233 eavg:-0.178 flag:1
node:148 rate:1.283 new_rtt12.265 c:1.055 rttpred:12101.017 rtttarget:15330.000 rttmin12264.000 e:-0.211 eold:-0.204 eavg:-0.104 flag:1
node:148 rate:2.768 new_rtt8.220 c:1.061 rttpred:8105.496 rtttarget:10275.000 rttmin8220.000 e:-0.211 eold:-0.209 eavg:-0.178 flag:1
node:148 rate:1.000 new_rtt12.264 c:0.967 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:148 rate:2.937 new_rtt4.176 c:1.060 rttpred:4134.585 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.209 eavg:-0.179 flag:1
node:148 rate:1.255 new_rtt12.271 c:1.056 rttpred:12106.846 rtttarget:15330.000 rttmin12264.000 e:-0.210 eold:-0.205 eavg:-0.119 flag:1
node:148 rate:3.115 new_rtt4.176 c:1.061 rttpred:4133.843 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.181 flag:1
node:148 rate:2.938 new_rtt8.220 c:1.060 rttpred:8137.990 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.211 eavg:-0.179 flag:1
node:148 rate:1.661 new_rtt19.446 c:0.983 rttpred:16707.392 rtttarget:15330.000 rttmin12264.000 e:0.090 eold:0.054 eavg:-0.062 flag:1
node:148 rate:1.353 new_rtt12.276 c:1.053 rttpred:12166.099 rtttarget:15330.000 rttmin12264.000 e:-0.206 eold:-0.211 eavg:-0.115 flag:1
node:148 rate:3.304 new_rtt4.176 c:1.061 rttpred:4133.243 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.182 flag:1
node:148 rate:1.000 new_rtt12.282 c:0.978 rttpred:12172.836 rtttarget:11037.600 rttmin12264.000 e:0.103 eold:0.099 eavg:0.000 flag:1
node:148 rate:3.115 new_rtt8.220 c:1.061 rttpred:8137.462 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.208 eavg:-0.181 flag:1
node:148 rate:3.505 new_rtt4.176 c:1.061 rttpred:4132.758 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.183 flag:1
node:148 rate:1.325 new_rtt12.280 c:1.055 rttpred:12161.420 rtttarget:15330.000 rttmin12264.000 e:-0.207 eold:-0.210 eavg:-0.130 flag:1
node:148 rate:3.719 new_rtt4.176 c:1.061 rttpred:4132.368 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.184 flag:1
