node:14 rate:56.262 new_rtt4.176 c:1.062 rttpred:4131.571 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.208 eavg:-0.194 flag:1
node:14 rate:2.189 new_rtt4.209 c:1.055 rttpred:4210.626 rtttarget:5220.000 rttmin4176.000 e:-0.193 eold:-0.208 eavg:-0.169 flag:1
node:14 rate:1.258 new_rtt8.227 c:1.054 rttpred:8148.488 rtttarget:10275.000 rttmin8220.000 e:-0.207 eold:-0.209 eavg:-0.121 flag:1
node:14 rate:59.757 new_rtt4.214 c:1.056 rttpred:4219.610 rtttarget:5220.000 rttmin4176.000 e:-0.192 eold:-0.209 eavg:-0.194 flag:1
node:14 rate:2.309 new_rtt4.176 c:1.065 rttpred:4082.050 rtttarget:5220.000 rttmin4176.000 e:-0.218 eold:-0.193 eavg:-0.172 flag:1
node:14 rate:63.131 new_rtt4.176 c:1.068 rttpred:4072.014 rtttarget:5220.000 rttmin4176.000 e:-0.220 eold:-0.192 eavg:-0.194 flag:1
node:14 rate:1.563 new_rtt12.264 c:1.059 rttpred:12104.871 rtttarget:15330.000 rttmin12264.000 e:-0.210 eold:-0.206 eavg:-0.153 flag:1
node:14 rate:67.433 new_rtt4.185 c:1.059 rttpred:4152.035 rtttarget:5220.000 rttmin4176.000 e:-0.205 eold:-0.220 eavg:-0.194 flag:1
node:14 rate:2.459 new_rtt4.176 c:1.059 rttpred:4132.919 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.218 eavg:-0.174 flag:1
node:14 rate:1.000 new_rtt8.237 c:0.965 rttpred:8170.322 rtttarget:7398.000 rttmin8220.000 e:0.104 eold:0.000 eavg:0.000 flag:1
node:14 rate:1.326 new_rtt8.220 c:1.057 rttpred:8121.201 rtttarget:10275.000 rttmin8220.000 e:-0.210 eold:-0.207 eavg:-0.132 flag:1
node:14 rate:71.436 new_rtt4.176 c:1.064 rttpred:4118.834 rtttarget:5220.000 rttmin4176.000 e:-0.211 eold:-0.205 eavg:-0.194 flag:1
node:14 rate:1.000 new_rtt8.220 c:0.967 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:14 rate:75.972 new_rtt4.176 c:1.062 rttpred:4132.393 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.211 eavg:-0.194 flag:1
node:14 rate:2.604 new_rtt4.176 c:1.060 rttpred:4133.807 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.176 flag:1
node:14 rate:1.000 new_rtt8.241 c:0.979 rttpred:8153.155 rtttarget:7398.000 rttmin8220.000 e:0.102 eold:0.104 eavg:0.000 flag:1
node:14 rate:80.669 new_rtt4.187 c:1.061 rttpred:4157.921 rtttarget:5220.000 rttmin4176.000 e:-0.203 eold:-0.208 eavg:-0.195 flag:1
node:14 rate:1.655 new_rtt12.266 c:1.058 rttpred:12137.137 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:-0.210 eavg:-0.157 flag:1
node:14 rate:1.000 new_rtt8.220 c:0.980 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:14 rate:2.760 new_rtt4.176 c:1.060 rttpred:4133.213 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.177 flag:1
