[27766, 29.633, 29.633]
[27810, 29.633, 29.633]
[27888, 29.633, 29.633]
[27849, 29.633, 29.633]
[27888, 29.633, 29.633]
[27849, 29.633, 29.633]
[27888, 29.633, 29.633]
[27888, 29.633, 29.633]
[27888, 29.633, 29.633]
[27888, 29.633, 29.633]
[27888, 29.633, 29.633]
[27888, 29.633, 29.633]
[27888, 29.633, 29.633]
[27888, 29.633, 29.633]
[27971, 29.633, 29.633]
[27805, 29.633, 27.983]
[27888, 27.983, 27.983]
[27888, 27.983, 27.983]
[27888, 27.983, 27.983]
[27855, 27.983, 27.983]
[27888, 27.983, 27.983]
[27938, 27.983, 27.983]
[27888, 27.983, 27.983]
[27971, 27.983, 27.983]
[27971, 27.983, 27.983]
[27971, 27.983, 27.983]
[27971, 27.983, 27.983]
[27971, 27.983, 27.983]
[27971, 27.983, 27.983]
[27971, 27.983, 27.983]
[27971, 27.983, 27.983]
[27805, 27.983, 28.598]
[27805, 28.598, 28.598]
[27722, 28.598, 28.598]
[27672, 28.598, 28.598]
[27639, 28.598, 28.598]
[27722, 28.598, 28.598]
[27672, 28.598, 28.598]
[27722, 28.598, 28.598]
[27722, 28.598, 28.598]
[27556, 28.598, 28.598]
[27556, 28.598, 28.598]
[27556, 28.598, 28.598]
[27556, 28.598, 28.598]
[27556, 28.598, 28.598]
[27556, 28.598, 28.598]
[27722, 28.598, 26.668]
[27722, 26.668, 26.668]
[27722, 26.668, 26.668]
[27678, 26.668, 26.668]
[27717, 26.668, 26.668]
[27722, 26.668, 26.668]
[27678, 26.668, 26.668]
[27722, 26.668, 26.668]
[27722, 26.668, 26.668]
[27639, 26.668, 26.668]
[27722, 26.668, 26.668]
[27722, 26.668, 26.668]
[27722, 26.668, 26.668]
[27722, 26.668, 26.668]
[27805, 26.668, 26.668]
[27722, 26.668, 27.283]
[27722, 27.283, 27.283]
[27574, 27.283, 27.283]
[27592, 27.283, 27.283]
[27639, 27.283, 27.283]
[27574, 27.283, 27.283]
[27556, 27.283, 27.283]
[27556, 27.283, 27.283]
[27556, 27.283, 27.283]
[27639, 27.283, 27.283]
[27639, 27.283, 27.283]
[27639, 27.283, 27.283]
[27639, 27.283, 27.283]
[27639, 27.283, 27.283]
[27722, 27.283, 27.898]
[27747, 27.898, 27.898]
[27689, 27.898, 27.898]
[27714, 27.898, 27.898]
[27822, 27.898, 27.898]
[27764, 27.898, 27.898]
[27872, 27.898, 27.898]
[27814, 27.898, 27.898]
[27839, 27.898, 27.898]
[27888, 27.898, 27.898]
[27888, 27.898, 27.898]
[27888, 27.898, 27.898]
[27888, 27.898, 27.898]
[27888, 27.898, 27.898]
[27888, 27.898, 27.898]
[27556, 27.898, 28.513]
[27556, 28.513, 28.513]
[27505, 28.513, 28.513]
[27620, 28.513, 28.513]
[27556, 28.513, 28.513]
[27505, 28.513, 28.513]
[27639, 28.513, 28.513]
[27588, 28.513, 28.513]
[27620, 28.513, 28.513]
[27639, 28.513, 28.513]
[27639, 28.513, 28.513]
[27639, 28.513, 26.77]
[27639, 26.77, 26.77]
[27639, 26.77, 26.77]
[27639, 26.77, 26.77]
[27971, 26.77, 26.77]
[27971, 26.77, 26.77]
[27926, 26.77, 26.77]
[28054, 26.77, 26.77]
[28054, 26.77, 26.77]
[28009, 26.77, 26.77]
[28054, 26.77, 26.77]
[28009, 26.77, 26.77]
[28047, 26.77, 26.77]
[28054, 26.77, 26.77]
[27805, 26.77, 26.77]
[26809, 26.77, 26.77]
[26809, 26.77, 26.77]
[26809, 26.77, 26.77]
[26809, 26.77, 27.385]
[26809, 27.385, 27.385]
[26745, 27.385, 27.385]
[26809, 27.385, 27.385]
[26809, 27.385, 27.385]
[26745, 27.385, 27.385]
[26809, 27.385, 27.385]
[26745, 27.385, 27.385]
[26764, 27.385, 27.385]
[26809, 27.385, 27.385]
[26809, 27.385, 27.385]
[26809, 27.385, 27.385]
